time,Xa,Ya,Za,,,,,,
14.82352941,-1.11,0.1,0,,,0,-1,315,0.04705882353
14.87058824,-1.09,0.13,0,,,0,-1,316,0.04705882353
14.91764706,-1.19,0.18,-0.02,,,0.02,-1,317,0.04705882353
14.96470588,-1.11,0.2,0.02,,,-0.02,-1,318,0.04705882353
15.01176471,-1.06,0.21,0.02,,,-0.02,-1,319,0.04705882353
15.05882353,-1.01,0.2,0.02,,,-0.02,-1,320,0.04705882353
15.10588235,-1,0.22,0.04,,,-0.04,-1,321,0.04705882353
15.15294118,-1.04,0.2,0.02,,,-0.02,-1,322,0.04705882353
15.2,-1.03,0.16,0.01,,,-0.01,-1,323,0.04705882353
15.24705882,-1.12,0.15,0.01,,,-0.01,-1,324,0.04705882353
15.29411765,-1.16,0.16,-0.01,,,0.01,-1,325,0.04705882353
15.34117647,-1.18,0.18,-0.01,,,0.01,-1,326,0.04705882353
15.38823529,-1.04,0.22,0.02,,,-0.02,-1,327,0.04705882353
15.43529412,-1.02,0.19,0.03,,,-0.03,-1,328,0.04705882353
15.48235294,-1,0.15,0.02,,,-0.02,-1,329,0.04705882353
15.52941176,-0.93,0.17,0.04,,,-0.04,-1,330,0.04705882353
15.57647059,-1.18,0.2,0.01,,,-0.01,-1,331,0.04705882353
15.62352941,-1.1,0.11,-0.01,,,0.01,-1,332,0.04705882353
15.67058824,-1.29,0.14,-0.01,,,0.01,-1,333,0.04705882353
15.71764706,-1.13,0.21,0.01,,,-0.01,-1,334,0.04705882353
15.76470588,-1.17,0.16,0.02,,,-0.02,-1,335,0.04705882353
15.81176471,-1.12,0.12,0,,,0,-1,336,0.04705882353
15.85882353,-1.09,0.2,0,,,0,-1,337,0.04705882353
15.90588235,-1.09,0.21,0,,,0,-1,338,0.04705882353
15.95294118,-1.02,0.25,0.05,,,-0.05,-1,339,0.04705882353
16,-0.94,0.18,0.02,,,-0.02,-1,340,0.04705882353
16.04705882,-1.04,0.16,0.02,,,-0.02,-1,341,0.04705882353
16.09411765,-1.07,0.14,0,,,0,-1,342,0.04705882353
16.14117647,-1.14,0.16,0.01,,,-0.01,-1,343,0.04705882353
16.18823529,-1.06,0.03,-0.03,,,0.03,-1,344,0.04705882353
16.23529412,-1.15,0.11,0.01,,,-0.01,-1,345,0.04705882353
16.28235294,-1.21,0.16,-0.01,,,0.01,-1,346,0.04705882353
16.32941176,-1.15,0.15,-0.01,,,0.01,-1,347,0.04705882353
16.37647059,-1.11,0.2,-0.01,,,0.01,-1,348,0.04705882353
16.42352941,-0.96,0.22,0.03,,,-0.03,-1,349,0.04705882353
16.47058824,-1.07,0.25,0.02,,,-0.02,-1,350,0.04705882353
