time,Xa,Ya,Za,,,,,,,,
6.275229358,-1,0.23,0.02,,,,,-1,-0.02,171,0.03669724771
6.311926606,-1.03,0.14,-0.02,,,,,-1,0.02,172,0.03669724771
6.348623853,-1.13,0.21,0.02,,,,,-1,-0.02,173,0.03669724771
6.385321101,-1.02,0.18,0.04,,,,,-1,-0.04,174,0.03669724771
6.422018349,-1.08,0.2,0.01,,,,,-1,-0.01,175,0.03669724771
6.458715596,-0.95,0.14,0,,,,,-1,0,176,0.03669724771
6.495412844,-1.1,0.2,0,,,,,-1,0,177,0.03669724771
6.532110092,-1.06,0.18,0.02,,,,,-1,-0.02,178,0.03669724771
6.568807339,-1.08,0.23,0.03,,,,,-1,-0.03,179,0.03669724771
6.605504587,-1.04,0.18,0,,,,,-1,0,180,0.03669724771
6.642201835,-1.02,0.18,-0.01,,,,,-1,0.01,181,0.03669724771
6.678899083,-1.16,0.18,0.03,,,,,-1,-0.03,182,0.03669724771
6.71559633,-0.89,0.14,0,,,,,-1,0,183,0.03669724771
6.752293578,-0.98,0.15,0,,,,,-1,0,184,0.03669724771
6.788990826,-1.21,0.14,-0.04,,,,,-1,0.04,185,0.03669724771
6.825688073,-1.2,0.17,-0.02,,,,,-1,0.02,186,0.03669724771
6.862385321,-1.04,0.18,0.01,,,,,-1,-0.01,187,0.03669724771
6.899082569,-0.99,0.23,0.02,,,,,-1,-0.02,188,0.03669724771
6.935779817,-0.93,0.2,0.03,,,,,-1,-0.03,189,0.03669724771
6.972477064,-1.03,0.18,0.02,,,,,-1,-0.02,190,0.03669724771
7.009174312,-1.04,0.23,0,,,,,-1,0,191,0.03669724771
7.04587156,-1.04,0.24,0.02,,,,,-1,-0.02,192,0.03669724771
7.082568807,-0.93,0.16,0.01,,,,,-1,-0.01,193,0.03669724771
7.119266055,-1.09,0.17,-0.01,,,,,-1,0.01,194,0.03669724771
7.155963303,-1.05,0.2,0.02,,,,,-1,-0.02,195,0.03669724771
7.19266055,-1.05,0.2,0,,,,,-1,0,196,0.03669724771
7.229357798,-1.05,0.23,0.05,,,,,-1,-0.05,197,0.03669724771
7.266055046,-0.97,0.19,0.01,,,,,-1,-0.01,198,0.03669724771
7.302752294,-1,0.16,0.01,,,,,-1,-0.01,199,0.03669724771
7.339449541,-0.98,0.14,0,,,,,-1,0,200,0.03669724771
7.376146789,-1.16,0.22,0,,,,,-1,0,201,0.03669724771
7.412844037,-1.02,0.15,0.01,,,,,-1,-0.01,202,0.03669724771
7.449541284,-0.99,0.18,-0.01,,,,,-1,0.01,203,0.03669724771
7.486238532,-0.88,0.18,0.04,,,,,-1,-0.04,204,0.03669724771
7.52293578,-1.18,0.2,0.02,,,,,-1,-0.02,205,0.03669724771
7.559633028,-0.96,0.16,0.02,,,,,-1,-0.02,206,0.03669724771
7.596330275,-1,0.19,0.01,,,,,-1,-0.01,207,0.03669724771
7.633027523,-1.16,0.23,0,,,,,-1,0,208,0.03669724771
7.669724771,-0.99,0.2,0.02,,,,,-1,-0.02,209,0.03669724771
7.706422018,-1.01,0.17,-0.02,,,,,-1,0.02,210,0.03669724771
7.743119266,-1.01,0.15,0.03,,,,,-1,-0.03,211,0.03669724771
7.779816514,-1.01,0.19,0.01,,,,,-1,-0.01,212,0.03669724771
7.816513761,-0.98,0.17,0.01,,,,,-1,-0.01,213,0.03669724771
7.853211009,-1.02,0.14,-0.02,,,,,-1,0.02,214,0.03669724771
7.889908257,-0.97,0.18,0.02,,,,,-1,-0.02,215,0.03669724771
7.926605505,-1.11,0.2,-0.01,,,,,-1,0.01,216,0.03669724771
7.963302752,-1.15,0.19,-0.01,,,,,-1,0.01,217,0.03669724771
8,-1.15,0.16,0.01,,,,,-1,-0.01,218,0.03669724771
8.036697248,-1.27,0.23,0.02,,,,,-1,-0.02,219,0.03669724771
8.073394495,-1.16,0.22,-0.01,,,,,-1,0.01,220,0.03669724771
8.110091743,-1.13,0.19,0.02,,,,,-1,-0.02,221,0.03669724771
8.146788991,-1.01,0.23,0.04,,,,,-1,-0.04,222,0.03669724771
8.183486239,-0.96,0.14,0,,,,,-1,0,223,0.03669724771
8.220183486,-1.07,0.1,-0.02,,,,,-1,0.02,224,0.03669724771
8.256880734,-1,0.17,0.01,,,,,-1,-0.01,225,0.03669724771
8.293577982,-1,0.23,0.03,,,,,-1,-0.03,226,0.03669724771
8.330275229,-1.05,0.11,0,,,,,-1,0,227,0.03669724771
8.366972477,-1.09,0.2,0,,,,,-1,0,228,0.03669724771
8.403669725,-1.2,0.3,0.04,,,,,-1,-0.04,229,0.03669724771
8.440366972,-1.05,0.18,0,,,,,-1,0,230,0.03669724771
8.47706422,-1.02,0.11,-0.02,,,,,-1,0.02,231,0.03669724771
8.513761468,-1.08,0.2,0.02,,,,,-1,-0.02,232,0.03669724771
8.550458716,-0.84,0.16,0,,,,,-1,0,233,0.03669724771
8.587155963,-0.91,0.16,0.04,,,,,-1,-0.04,234,0.03669724771
8.623853211,-1.03,0.21,0,,,,,-1,0,235,0.03669724771
8.660550459,-0.98,0.2,0.04,,,,,-1,-0.04,236,0.03669724771
8.697247706,-1.12,0.16,-0.01,,,,,-1,0.01,237,0.03669724771
8.733944954,-1.09,0.17,0,,,,,-1,0,238,0.03669724771
8.770642202,-1.05,0.19,0.01,,,,,-1,-0.01,239,0.03669724771
8.80733945,-1.19,0.25,0.01,,,,,-1,-0.01,240,0.03669724771
8.844036697,-1.12,0.21,0.01,,,,,-1,-0.01,241,0.03669724771
8.880733945,-0.99,0.18,0.02,,,,,-1,-0.02,242,0.03669724771
8.917431193,-1.09,0.17,0.02,,,,,-1,-0.02,243,0.03669724771
8.95412844,-1.12,0.2,0.02,,,,,-1,-0.02,244,0.03669724771
8.990825688,-1,0.13,-0.01,,,,,-1,0.01,245,0.03669724771
9.027522936,-1.18,0.18,-0.03,,,,,-1,0.03,246,0.03669724771
9.064220183,-1.11,0.24,0.03,,,,,-1,-0.03,247,0.03669724771
9.100917431,-1.02,0.21,0.02,,,,,-1,-0.02,248,0.03669724771
9.137614679,-1.13,0.22,0.02,,,,,-1,-0.02,249,0.03669724771
9.174311927,-0.82,0.16,0.01,,,,,-1,-0.01,250,0.03669724771
9.211009174,-1.04,0.14,0.03,,,,,-1,-0.03,251,0.03669724771
9.247706422,-0.91,0.14,0.02,,,,,-1,-0.02,252,0.03669724771
9.28440367,-1.01,0.15,0.02,,,,,-1,-0.02,253,0.03669724771
9.321100917,-1.02,0.2,0.03,,,,,-1,-0.03,254,0.03669724771
9.357798165,-1.08,0.16,0.02,,,,,-1,-0.02,255,0.03669724771
9.394495413,-1.1,0.24,0,,,,,-1,0,256,0.03669724771
9.431192661,-1.08,0.2,0.01,,,,,-1,-0.01,257,0.03669724771
9.467889908,-1,0.21,0.05,,,,,-1,-0.05,258,0.03669724771
9.504587156,-0.98,0.16,0.01,,,,,-1,-0.01,259,0.03669724771
9.541284404,-1.16,0.22,0,,,,,-1,0,260,0.03669724771
9.577981651,-1.24,0.19,0,,,,,-1,0,261,0.03669724771
9.614678899,-1.02,0.21,0.03,,,,,-1,-0.03,262,0.03669724771
9.651376147,-1,0.16,0,,,,,-1,0,263,0.03669724771
9.688073394,-1.2,0.14,-0.02,,,,,-1,0.02,264,0.03669724771
