Time,Xa,Ya,Za,,,,,,,,,,,
7.523992322,-0.16,-0.98,-0.21,,,,,,,,,,0.038387716,196
7.562380038,-0.1,-1.01,-0.15,,,,,,,,,,0.038387716,197
7.600767754,-0.05,-0.9,-0.22,,,,,,,,,,0.038387716,198
7.63915547,-0.1,-1.06,-0.19,,,,,,,,,,0.038387716,199
7.677543186,-0.1,-0.89,-0.24,,,,,,,,,,0.038387716,200
7.715930902,-0.1,-1.03,-0.18,,,,,,,,,,0.038387716,201
7.754318618,-0.16,-0.92,-0.2,,,,,,,,,,0.038387716,202
7.792706334,-0.07,-1.06,-0.23,,,,,,,,,,0.038387716,203
7.83109405,-0.12,-1,-0.22,,,,,,,,,,0.038387716,204
7.869481766,-0.16,-0.89,-0.2,,,,,,,,,,0.038387716,205
7.907869482,-0.1,-0.95,-0.11,,,,,,,,,,0.038387716,206
7.946257198,-0.11,-1.21,-0.22,,,,,,,,,,0.038387716,207
7.984644914,-0.04,-1.04,-0.19,,,,,,,,,,0.038387716,208
8.02303263,-0.11,-1.03,-0.21,,,,,,,,,,0.038387716,209
8.061420345,-0.11,-1.13,-0.19,,,,,,,,,,0.038387716,210
8.099808061,-0.06,-1.02,-0.22,,,,,,,,,,0.038387716,211
8.138195777,-0.1,-1.13,-0.2,,,,,,,,,,0.038387716,212
8.176583493,-0.12,-0.99,-0.19,,,,,,,,,,0.038387716,213
8.214971209,-0.12,-0.93,-0.2,,,,,,,,,,0.038387716,214
8.253358925,-0.09,-1.14,-0.17,,,,,,,,,,0.038387716,215
8.291746641,-0.09,-0.8,-0.25,,,,,,,,,,0.038387716,216
8.330134357,-0.11,-1.06,-0.25,,,,,,,,,,0.038387716,217
8.368522073,-0.14,-0.98,-0.17,,,,,,,,,,0.038387716,218
8.406909789,-0.11,-1.08,-0.17,,,,,,,,,,0.038387716,219
8.445297505,-0.08,-0.96,-0.26,,,,,,,,,,0.038387716,220
8.483685221,-0.13,-1.25,-0.1,,,,,,,,,,0.038387716,221
8.522072937,-0.11,-0.94,-0.16,,,,,,,,,,0.038387716,222
8.560460653,-0.14,-0.78,-0.23,,,,,,,,,,0.038387716,223
8.598848369,-0.08,-0.93,-0.26,,,,,,,,,,0.038387716,224
