Time,Xa,Ya,Za,,,,,,,,,,
12.15613383,-0.2,-1.08,-0.24,,,,,,,,,0.037174721,327
12.19330855,-0.15,-1.08,-0.16,,,,,,,,,0.037174721,328
12.23048327,-0.08,-0.4,-0.22,,,,,,,,,0.037174721,329
12.26765799,-0.39,-1.27,-0.25,,,,,,,,,0.037174721,330
12.30483271,-0.1,-1.37,-0.34,,,,,,,,,0.037174721,331
12.34200743,-0.2,-0.81,-0.23,,,,,,,,,0.037174721,332
12.37918216,-0.22,-1.29,-0.13,,,,,,,,,0.037174721,333
12.41635688,-0.12,-0.78,-0.31,,,,,,,,,0.037174721,334
12.4535316,-0.33,-1.44,-0.21,,,,,,,,,0.037174721,335
12.49070632,-0.34,-0.81,-0.24,,,,,,,,,0.037174721,336
12.52788104,-0.12,-1.31,-0.16,,,,,,,,,0.037174721,337
12.56505576,-0.2,-0.99,-0.28,,,,,,,,,0.037174721,338
12.60223048,-0.16,-1.09,-0.17,,,,,,,,,0.037174721,339
12.6394052,-0.16,-1.04,-0.3,,,,,,,,,0.037174721,340
12.67657993,-0.14,-0.61,-0.23,,,,,,,,,0.037174721,341
12.71375465,-0.3,-1.02,-0.29,,,,,,,,,0.037174721,342
12.75092937,-0.06,-1.2,-0.21,,,,,,,,,0.037174721,343
12.78810409,-0.29,-1.24,-0.18,,,,,,,,,0.037174721,344
12.82527881,-0.32,-1.33,-0.31,,,,,,,,,0.037174721,345
12.86245353,-0.23,-0.85,-0.23,,,,,,,,,0.037174721,346
12.89962825,-0.18,-1.33,0.02,,,,,,,,,0.037174721,347
12.93680297,-0.09,-0.62,-0.22,,,,,,,,,0.037174721,348
12.9739777,-0.08,-1.12,-0.29,,,,,,,,,0.037174721,349
13.01115242,-0.26,-0.86,-0.31,,,,,,,,,0.037174721,350
13.04832714,-0.27,-0.67,-0.25,,,,,,,,,0.037174721,351
13.08550186,-0.2,-0.97,-0.17,,,,,,,,,0.037174721,352
13.12267658,-0.13,-1.16,-0.2,,,,,,,,,0.037174721,353
13.1598513,-0.34,-0.71,-0.23,,,,,,,,,0.037174721,354
13.19702602,-0.32,-0.82,-0.18,,,,,,,,,0.037174721,355
13.23420074,-0.1,-0.68,-0.23,,,,,,,,,0.037174721,356
13.27137546,-0.12,-1.05,-0.28,,,,,,,,,0.037174721,357
13.30855019,-0.38,-0.5,-0.22,,,,,,,,,0.037174721,358
13.34572491,-0.19,-1.23,-0.14,,,,,,,,,0.037174721,359
13.38289963,-0.05,-1.32,-0.27,,,,,,,,,0.037174721,360
13.42007435,-0.16,-1.51,-0.17,,,,,,,,,0.037174721,361
13.45724907,-0.28,-0.66,-0.24,,,,,,,,,0.037174721,362
13.49442379,-0.25,-0.75,-0.32,,,,,,,,,0.037174721,363
13.53159851,-0.12,-1.2,-0.24,,,,,,,,,0.037174721,364
13.56877323,-0.41,-0.61,-0.14,,,,,,,,,0.037174721,365
13.60594796,-0.23,-1.29,-0.13,,,,,,,,,0.037174721,366
13.64312268,-0.03,-1.24,-0.26,,,,,,,,,0.037174721,367
13.6802974,-0.18,-1.2,-0.15,,,,,,,,,0.037174721,368
13.71747212,-0.14,-0.45,-0.2,,,,,,,,,0.037174721,369
13.75464684,-0.22,-0.67,-0.21,,,,,,,,,0.037174721,370
13.79182156,-0.16,-1.09,-0.29,,,,,,,,,0.037174721,371
13.82899628,-0.3,-0.72,-0.07,,,,,,,,,0.037174721,372
13.866171,-0.16,-1.6,-0.11,,,,,,,,,0.037174721,373
13.90334572,-0.12,-1.31,-0.17,,,,,,,,,0.037174721,374
13.94052045,-0.05,-0.73,-0.24,,,,,,,,,0.037174721,375
13.97769517,-0.07,-1.29,-0.06,,,,,,,,,0.037174721,376
