,time,Xa,Ya,Za,,,,,,,
,8.694029851,-0.95,0.36,0.07,,,,-1,-0.07,233,0.03731343284
,8.731343284,-0.93,0.32,0.05,,,,-1,-0.05,234,0.03731343284
,8.768656716,-0.89,0.31,0.07,,,,-1,-0.07,235,0.03731343284
,8.805970149,-1.03,0.33,0.05,,,,-1,-0.05,236,0.03731343284
,8.843283582,-0.92,0.32,0.06,,,,-1,-0.06,237,0.03731343284
,8.880597015,-1.11,0.32,0.03,,,,-1,-0.03,238,0.03731343284
,8.917910448,-1.01,0.31,0.04,,,,-1,-0.04,239,0.03731343284
,8.955223881,-1.1,0.36,0.05,,,,-1,-0.05,240,0.03731343284
,8.992537313,-0.82,0.36,0.07,,,,-1,-0.07,241,0.03731343284
,9.029850746,-1.11,0.33,0.05,,,,-1,-0.05,242,0.03731343284
,9.067164179,-0.92,0.32,0.07,,,,-1,-0.07,243,0.03731343284
,9.104477612,-0.99,0.41,0.09,,,,-1,-0.09,244,0.03731343284
,9.141791045,-1.02,0.29,0.04,,,,-1,-0.04,245,0.03731343284
,9.179104478,-1.01,0.35,0.06,,,,-1,-0.06,246,0.03731343284
,9.21641791,-1.03,0.34,0.06,,,,-1,-0.06,247,0.03731343284
,9.253731343,-1.09,0.34,0.04,,,,-1,-0.04,248,0.03731343284
,9.291044776,-1.04,0.31,0.04,,,,-1,-0.04,249,0.03731343284
,9.328358209,-1,0.43,0.09,,,,-1,-0.09,250,0.03731343284
,9.365671642,-1.09,0.32,0.04,,,,-1,-0.04,251,0.03731343284
,9.402985075,-0.95,0.32,0.06,,,,-1,-0.06,252,0.03731343284
,9.440298507,-0.93,0.38,0.09,,,,-1,-0.09,253,0.03731343284
,9.47761194,-1.04,0.22,0,,,,-1,0,254,0.03731343284
,9.514925373,-1.04,0.36,0.06,,,,-1,-0.06,255,0.03731343284
,9.552238806,-1.02,0.3,0.04,,,,-1,-0.04,256,0.03731343284
,9.589552239,-1.01,0.38,0.08,,,,-1,-0.08,257,0.03731343284
,9.626865672,-1.07,0.36,0.06,,,,-1,-0.06,258,0.03731343284
,9.664179104,-0.93,0.32,0.06,,,,-1,-0.06,259,0.03731343284
,9.701492537,-1.09,0.35,0.04,,,,-1,-0.04,260,0.03731343284
,9.73880597,-1,0.33,0.05,,,,-1,-0.05,261,0.03731343284
,9.776119403,-1.05,0.3,0.06,,,,-1,-0.06,262,0.03731343284
