time,Xa,Ya,Za,,,,,,,
6.779026217,-1.04,0.27,0.03,,,,-1,-0.03,181,0.03745318352
6.816479401,-0.98,0.35,0.08,,,,-1,-0.08,182,0.03745318352
6.853932584,-1.08,0.47,0.07,,,,-1,-0.07,183,0.03745318352
6.891385768,-1.17,0.42,0.1,,,,-1,-0.1,184,0.03745318352
6.928838951,-0.91,0.31,0.04,,,,-1,-0.04,185,0.03745318352
6.966292135,-0.88,0.28,0.08,,,,-1,-0.08,186,0.03745318352
7.003745318,-0.98,0.29,0.04,,,,-1,-0.04,187,0.03745318352
7.041198502,-0.94,0.32,0.09,,,,-1,-0.09,188,0.03745318352
7.078651685,-1,0.2,0.03,,,,-1,-0.03,189,0.03745318352
7.116104869,-1.21,0.32,0.07,,,,-1,-0.07,190,0.03745318352
7.153558052,-1.05,0.3,0.06,,,,-1,-0.06,191,0.03745318352
7.191011236,-1.02,0.27,0.06,,,,-1,-0.06,192,0.03745318352
7.228464419,-0.92,0.35,0.08,,,,-1,-0.08,193,0.03745318352
7.265917603,-0.92,0.32,0.06,,,,-1,-0.06,194,0.03745318352
7.303370787,-1,0.42,0.09,,,,-1,-0.09,195,0.03745318352
7.34082397,-0.96,0.27,0.06,,,,-1,-0.06,196,0.03745318352
7.378277154,-1.05,0.29,0.04,,,,-1,-0.04,197,0.03745318352
7.415730337,-0.82,0.31,0.08,,,,-1,-0.08,198,0.03745318352
7.453183521,-1.04,0.27,0.05,,,,-1,-0.05,199,0.03745318352
7.490636704,-0.87,0.34,0.11,,,,-1,-0.11,200,0.03745318352
7.528089888,-0.93,0.27,0.08,,,,-1,-0.08,201,0.03745318352
7.565543071,-1.07,0.36,0.06,,,,-1,-0.06,202,0.03745318352
7.602996255,-0.98,0.34,0.04,,,,-1,-0.04,203,0.03745318352
7.640449438,-1.06,0.26,0.04,,,,-1,-0.04,204,0.03745318352
7.677902622,-1.01,0.27,0.04,,,,-1,-0.04,205,0.03745318352
7.715355805,-1.27,0.31,0.04,,,,-1,-0.04,206,0.03745318352
7.752808989,-1.04,0.34,0.07,,,,-1,-0.07,207,0.03745318352
7.790262172,-1.07,0.28,0.03,,,,-1,-0.03,208,0.03745318352
7.827715356,-0.92,0.3,0.06,,,,-1,-0.06,209,0.03745318352
7.865168539,-1.05,0.41,0.07,,,,-1,-0.07,210,0.03745318352
7.902621723,-0.98,0.3,0.05,,,,-1,-0.05,211,0.03745318352
7.940074906,-0.81,0.37,0.09,,,,-1,-0.09,212,0.03745318352
7.97752809,-1.07,0.28,0.05,,,,-1,-0.05,213,0.03745318352
8.014981273,-0.88,0.25,0.07,,,,-1,-0.07,214,0.03745318352
8.052434457,-1.05,0.29,0.04,,,,-1,-0.04,215,0.03745318352
8.08988764,-1,0.34,0.07,,,,-1,-0.07,216,0.03745318352
8.127340824,-0.96,0.32,0.06,,,,-1,-0.06,217,0.03745318352
8.164794007,-1.03,0.33,0.06,,,,-1,-0.06,218,0.03745318352
8.202247191,-0.84,0.22,0.05,,,,-1,-0.05,219,0.03745318352
8.239700375,-1.15,0.39,0.05,,,,-1,-0.05,220,0.03745318352
8.277153558,-0.97,0.29,0.09,,,,-1,-0.09,221,0.03745318352
8.314606742,-1.14,0.38,0.06,,,,-1,-0.06,222,0.03745318352
8.352059925,-0.96,0.34,0.09,,,,-1,-0.09,223,0.03745318352
8.389513109,-0.98,0.27,0.04,,,,-1,-0.04,224,0.03745318352
8.426966292,-1.08,0.31,0.05,,,,-1,-0.05,225,0.03745318352
8.464419476,-1.16,0.34,0.07,,,,-1,-0.07,226,0.03745318352
8.501872659,-1.14,0.35,0.08,,,,-1,-0.08,227,0.03745318352
8.539325843,-1.08,0.35,0.05,,,,-1,-0.05,228,0.03745318352
8.576779026,-0.87,0.31,0.08,,,,-1,-0.08,229,0.03745318352
8.61423221,-0.99,0.33,0.06,,,,-1,-0.06,230,0.03745318352
8.651685393,-1.11,0.34,0.07,,,,-1,-0.07,231,0.03745318352
8.689138577,-0.94,0.34,0.07,,,,-1,-0.07,232,0.03745318352
8.72659176,-1.04,0.28,0.08,,,,-1,-0.08,233,0.03745318352
8.764044944,-0.93,0.33,0.06,,,,-1,-0.06,234,0.03745318352
8.801498127,-0.98,0.36,0.1,,,,-1,-0.1,235,0.03745318352
8.838951311,-1.12,0.29,0.08,,,,-1,-0.08,236,0.03745318352
8.876404494,-1.06,0.3,0.07,,,,-1,-0.07,237,0.03745318352
8.913857678,-1.12,0.32,0.06,,,,-1,-0.06,238,0.03745318352
8.951310861,-1.12,0.28,0.03,,,,-1,-0.03,239,0.03745318352
8.988764045,-0.89,0.32,0.06,,,,-1,-0.06,240,0.03745318352
9.026217228,-0.92,0.25,0.06,,,,-1,-0.06,241,0.03745318352
9.063670412,-0.75,0.27,0.09,,,,-1,-0.09,242,0.03745318352
9.101123596,-1.03,0.28,0.05,,,,-1,-0.05,243,0.03745318352
9.138576779,-0.97,0.24,0.03,,,,-1,-0.03,244,0.03745318352
9.176029963,-1.11,0.32,0.05,,,,-1,-0.05,245,0.03745318352
9.213483146,-1.11,0.34,0.05,,,,-1,-0.05,246,0.03745318352
9.25093633,-1.01,0.33,0.05,,,,-1,-0.05,247,0.03745318352
9.288389513,-1.11,0.3,0.05,,,,-1,-0.05,248,0.03745318352
9.325842697,-0.91,0.27,0.08,,,,-1,-0.08,249,0.03745318352
9.36329588,-1.12,0.37,0.08,,,,-1,-0.08,250,0.03745318352
9.400749064,-0.82,0.31,0.06,,,,-1,-0.06,251,0.03745318352
9.438202247,-1.05,0.35,0.07,,,,-1,-0.07,252,0.03745318352
9.475655431,-0.77,0.33,0.07,,,,-1,-0.07,253,0.03745318352
9.513108614,-1.05,0.34,0.07,,,,-1,-0.07,254,0.03745318352
9.550561798,-1,0.36,0.06,,,,-1,-0.06,255,0.03745318352
9.588014981,-0.98,0.34,0.07,,,,-1,-0.07,256,0.03745318352
9.625468165,-0.83,0.29,0.04,,,,-1,-0.04,257,0.03745318352
9.662921348,-1,0.38,0.07,,,,-1,-0.07,258,0.03745318352
9.700374532,-0.84,0.3,0.08,,,,-1,-0.08,259,0.03745318352
9.737827715,-1.11,0.26,0.03,,,,-1,-0.03,260,0.03745318352
9.775280899,-0.91,0.27,0.03,,,,-1,-0.03,261,0.03745318352
9.812734082,-1.05,0.29,0.04,,,,-1,-0.04,262,0.03745318352
9.850187266,-0.93,0.36,0.09,,,,-1,-0.09,263,0.03745318352
9.887640449,-1.02,0.34,0.08,,,,-1,-0.08,264,0.03745318352
9.925093633,-1.01,0.29,0.06,,,,-1,-0.06,265,0.03745318352
9.962546816,-0.92,0.36,0.08,,,,-1,-0.08,266,0.03745318352
10,-1.13,0.41,0.08,,,,-1,-0.08,267,0.03745318352
10.03745318,-0.96,0.37,0.07,,,,-1,-0.07,268,0.03745318352
10.07490637,-1.07,0.38,0.08,,,,-1,-0.08,269,0.03745318352
10.11235955,-0.98,0.26,0.03,,,,-1,-0.03,270,0.03745318352
10.14981273,-0.91,0.32,0.07,,,,-1,-0.07,271,0.03745318352
10.18726592,-0.96,0.37,0.1,,,,-1,-0.1,272,0.03745318352
10.2247191,-0.82,0.25,0.05,,,,-1,-0.05,273,0.03745318352
10.26217228,-1.05,0.36,0.07,,,,-1,-0.07,274,0.03745318352
10.29962547,-1.03,0.27,0.06,,,,-1,-0.06,275,0.03745318352
10.33707865,-1.08,0.34,0.07,,,,-1,-0.07,276,0.03745318352
10.37453184,-1.15,0.34,0.06,,,,-1,-0.06,277,0.03745318352
10.41198502,-0.97,0.24,0.05,,,,-1,-0.05,278,0.03745318352
10.4494382,-1.06,0.36,0.06,,,,-1,-0.06,279,0.03745318352
10.48689139,-0.88,0.31,0.05,,,,-1,-0.05,280,0.03745318352
10.52434457,-0.98,0.29,0.05,,,,-1,-0.05,281,0.03745318352
10.56179775,-0.95,0.32,0.06,,,,-1,-0.06,282,0.03745318352
10.59925094,-1.06,0.38,0.06,,,,-1,-0.06,283,0.03745318352
10.63670412,-1.16,0.35,0.07,,,,-1,-0.07,284,0.03745318352
10.6741573,-1.12,0.36,0.07,,,,-1,-0.07,285,0.03745318352
10.71161049,-1.09,0.31,0.05,,,,-1,-0.05,286,0.03745318352
10.74906367,-0.84,0.29,0.06,,,,-1,-0.06,287,0.03745318352
10.78651685,-0.94,0.33,0.06,,,,-1,-0.06,288,0.03745318352
10.82397004,-0.96,0.26,0.05,,,,-1,-0.05,289,0.03745318352
10.86142322,-1.04,0.33,0.07,,,,-1,-0.07,290,0.03745318352
10.8988764,-0.95,0.34,0.07,,,,-1,-0.07,291,0.03745318352
10.93632959,-1.02,0.29,0.05,,,,-1,-0.05,292,0.03745318352
10.97378277,-0.95,0.32,0.07,,,,-1,-0.07,293,0.03745318352
11.01123596,-1.06,0.25,0.04,,,,-1,-0.04,294,0.03745318352
11.04868914,-1.24,0.33,0.04,,,,-1,-0.04,295,0.03745318352
11.08614232,-1.11,0.33,0.05,,,,-1,-0.05,296,0.03745318352
11.12359551,-1.14,0.29,0.02,,,,-1,-0.02,297,0.03745318352
11.16104869,-0.94,0.34,0.05,,,,-1,-0.05,298,0.03745318352
11.19850187,-1.04,0.37,0.09,,,,-1,-0.09,299,0.03745318352
11.23595506,-1,0.3,0.06,,,,-1,-0.06,300,0.03745318352
11.27340824,-1.04,0.29,0.06,,,,-1,-0.06,301,0.03745318352
11.31086142,-1.07,0.35,0.06,,,,-1,-0.06,302,0.03745318352
11.34831461,-1.04,0.43,0.1,,,,-1,-0.1,303,0.03745318352
11.38576779,-1.04,0.38,0.07,,,,-1,-0.07,304,0.03745318352
11.42322097,-0.97,0.31,0.08,,,,-1,-0.08,305,0.03745318352
11.46067416,-1.05,0.29,0.04,,,,-1,-0.04,306,0.03745318352
11.49812734,-1,0.27,0.04,,,,-1,-0.04,307,0.03745318352
11.53558052,-1.07,0.24,0.03,,,,-1,-0.03,308,0.03745318352
11.57303371,-1.02,0.3,0.04,,,,-1,-0.04,309,0.03745318352
11.61048689,-1.18,0.26,0.05,,,,-1,-0.05,310,0.03745318352
11.64794007,-1.1,0.34,0.08,,,,-1,-0.08,311,0.03745318352
11.68539326,-1.05,0.33,0.07,,,,-1,-0.07,312,0.03745318352
11.72284644,-1.05,0.29,0.04,,,,-1,-0.04,313,0.03745318352
11.76029963,-0.93,0.33,0.06,,,,-1,-0.06,314,0.03745318352
11.79775281,-0.88,0.33,0.08,,,,-1,-0.08,315,0.03745318352
11.83520599,-0.89,0.33,0.08,,,,-1,-0.08,316,0.03745318352
11.87265918,-1.06,0.29,0.05,,,,-1,-0.05,317,0.03745318352
11.91011236,-1.16,0.33,0.07,,,,-1,-0.07,318,0.03745318352
11.94756554,-0.98,0.32,0.06,,,,-1,-0.06,319,0.03745318352
11.98501873,-1.14,0.31,0.1,,,,-1,-0.1,320,0.03745318352
12.02247191,-1.21,0.37,0.05,,,,-1,-0.05,321,0.03745318352
12.05992509,-1.15,0.36,0.04,,,,-1,-0.04,322,0.03745318352
12.09737828,-0.89,0.38,0.09,,,,-1,-0.09,323,0.03745318352
12.13483146,-1,0.35,0.05,,,,-1,-0.05,324,0.03745318352
12.17228464,-0.91,0.35,0.09,,,,-1,-0.09,325,0.03745318352
12.20973783,-1.02,0.3,0.05,,,,-1,-0.05,326,0.03745318352
12.24719101,-1.12,0.32,0.05,,,,-1,-0.05,327,0.03745318352
12.28464419,-1,0.31,0.06,,,,-1,-0.06,328,0.03745318352
12.32209738,-1.01,0.32,0.07,,,,-1,-0.07,329,0.03745318352
12.35955056,-1,0.31,0.05,,,,-1,-0.05,330,0.03745318352
12.39700375,-1.13,0.35,0.11,,,,-1,-0.11,331,0.03745318352
12.43445693,-1.13,0.36,0.03,,,,-1,-0.03,332,0.03745318352
12.47191011,-1.27,0.41,0.07,,,,-1,-0.07,333,0.03745318352
12.5093633,-0.95,0.31,0.06,,,,-1,-0.06,334,0.03745318352
12.54681648,-0.98,0.26,0.06,,,,-1,-0.06,335,0.03745318352
12.58426966,-1.06,0.29,0.03,,,,-1,-0.03,336,0.03745318352
12.62172285,-0.97,0.3,0.05,,,,-1,-0.05,337,0.03745318352
12.65917603,-1,0.32,0.09,,,,-1,-0.09,338,0.03745318352
12.69662921,-0.96,0.35,0.05,,,,-1,-0.05,339,0.03745318352
12.7340824,-1.06,0.3,0.05,,,,-1,-0.05,340,0.03745318352
12.77153558,-0.93,0.23,0.07,,,,-1,-0.07,341,0.03745318352
12.80898876,-0.97,0.27,0.07,,,,-1,-0.07,342,0.03745318352
12.84644195,-0.98,0.32,0.07,,,,-1,-0.07,343,0.03745318352
12.88389513,-1.11,0.28,0.04,,,,-1,-0.04,344,0.03745318352
12.92134831,-1.03,0.28,0.07,,,,-1,-0.07,345,0.03745318352
12.9588015,-1.15,0.3,0.05,,,,-1,-0.05,346,0.03745318352
12.99625468,-0.95,0.26,0.05,,,,-1,-0.05,347,0.03745318352
13.03370787,-0.96,0.41,0.07,,,,-1,-0.07,348,0.03745318352
13.07116105,-1.17,0.3,0.03,,,,-1,-0.03,349,0.03745318352
13.10861423,-1.02,0.34,0.05,,,,-1,-0.05,350,0.03745318352
13.14606742,-1.05,0.31,0.07,,,,-1,-0.07,351,0.03745318352
13.1835206,-0.94,0.3,0.07,,,,-1,-0.07,352,0.03745318352
13.22097378,-1.01,0.31,0.06,,,,-1,-0.06,353,0.03745318352
13.25842697,-1,0.35,0.07,,,,-1,-0.07,354,0.03745318352
13.29588015,-1.03,0.31,0.05,,,,-1,-0.05,355,0.03745318352
13.33333333,-0.91,0.29,0.06,,,,-1,-0.06,356,0.03745318352
13.37078652,-0.78,0.31,0.08,,,,-1,-0.08,357,0.03745318352
